DATE,Interest rate,Consumer price index,M1 money supply,Unemployment rate,Closing price,Inflation rate,Real GDP,Real personal income,M2 money supply,Opening price,House price,Change in values of stocks,Net Exports,Labor compensation,Total capital expenditure and transactions,Outcome
Aug-83,9.56,100.1,510,9.5,164.4,2.559,7719.746,6369.041,2074,162.6,116.96,1.11,-65.2,3.321470937,1104545,0
Sep-83,9.45,100.4,510.8,9.2,166.1,2.86,7719.746,6412.175,2083.2,164.4,116.96,1.03,-65.2,3.668639053,1104545,0
Oct-83,9.48,100.8,513.1,8.8,163.6,2.851,7880.794,6473.198,2099.2,166.1,117.65,-1.51,-71.39,4.265402844,1190215,0
Nov-83,9.34,101.1,513.4,8.5,166.4,3.265,7880.794,6524.235,2112.3,163.6,117.65,1.71,-71.39,4.491725768,1190215,0
Dec-83,9.47,101.4,514.2,8.3,164.9,3.791,7880.794,6581.287,2123.5,166.4,117.65,-0.9,-71.39,4.475853946,1190215,0
Jan-84,9.56,102.1,514.3,8,163.4,4.192,8034.847,6603.03,2138.2,164.9,119.42,-0.91,-95,4.577464789,1281874,0
Feb-84,9.59,102.6,514.1,7.8,157.1,4.597,8034.847,6639.713,2158.2,163.4,119.42,-3.86,-95,3.841676368,1281874,0
Mar-84,9.91,102.9,516.4,7.8,159.2,4.801,8034.847,6679.057,2175.2,157.1,119.42,1.34,-95,4.307334109,1281874,0
Apr-84,10.29,103.3,517.9,7.7,160.1,4.564,8173.67,6721.247,2191.7,159.2,121.04,0.57,-104.3,4.297328688,1324359,0
May-84,10.32,103.5,518.6,7.4,150.6,4.234,8173.67,6735.713,2204.1,160.1,121.04,-5.93,-104.3,4.050925926,1324359,0
Jun-84,11.06,103.7,520.9,7.2,153.2,4.221,8173.67,6785.832,2215.1,150.6,121.04,1.73,-104.3,4.272517321,1324359,0
Jul-84,11.23,104.1,519.6,7.5,150.7,4.204,8252.465,6800.935,2223.5,153.2,122.17,-1.63,-103.85,3.903559127,1349347,0
Aug-84,11.64,104.4,518.2,7.5,166.7,4.291,8252.465,6845.315,2230.4,150.7,122.17,10.62,-103.85,4.362801378,1349347,0
Sep-84,11.3,104.7,518.7,7.3,166.1,4.27,8252.465,6897.723,2244.4,166.7,122.17,-0.36,-103.85,4.109589041,1349347,0
Oct-84,9.99,105.1,517.3,7.4,166.1,4.257,8320.199,6877.638,2258.9,166.1,123.16,0,-107.76,3.977272727,1364773,0
Nov-84,9.43,105.3,519.9,7.2,163.6,4.051,8320.199,6913.808,2281.4,166.1,123.16,-1.51,-107.76,3.959276018,1364773,0
Dec-84,8.38,105.5,522.8,7.3,167.2,3.949,8320.199,6960.651,2306.4,163.6,123.16,2.2,-107.76,3.945885006,1364773,0
Jan-85,8.35,105.7,527,7.3,179.6,3.533,8400.82,6953.088,2332.4,167.2,124.9,7.42,-91.3,4.04040404,1361272,0
Feb-85,8.5,106.3,530.2,7.2,181.2,3.516,8400.82,6958.565,2354.1,179.6,124.9,0.89,-91.3,4.147982063,1361272,0
